kelime,anlam,tur,duygu,es_anlam,vurgu
aşk,Sevgi ve tutku.,İsim,Romantik,sevda,Son
hüzün,Gönül üzgünlüğü.,İsim,Melankolik,gam,Son
koşmak,Hızlıca gitmek.,Fiil,Nötr,seğirtmek,Son
güzel,Göze hoş görünen.,Sıfat,Pozitif,hoş,Son
belki,İhtimal dahilinde.,Zarf,Nötr,muhtemelen,İlk
yalan,Gerçek olmayan.,İsim,Negatif,dolan,Son
git,Bir yerden ayrıl.,Fiil,Negatif,ayrıl,Son
güneş,Isı ve ışık kaynağı.,İsim,Pozitif,şems,Son
deniz,Tuzlu su kütlesi.,İsim,Nötr,derya,Son
mavi,Bir renk.,İsim,Nötr,mai,Son
sert,Katı olan.,Sıfat,Negatif,katı,Son
yumuşak,Sert olmayan.,Sıfat,Pozitif,narin,Son
karanlık,Işık olmayan.,İsim,Korku,zifiri,Son
aydınlık,Işıklı olan.,İsim,Umut,nur,Son
sevda,Güçlü sevgi.,İsim,Romantik,aşk,Son
hasret,Özlem duyma.,İsim,Melankolik,özlem,Son
umut,Ümit etme.,İsim,Pozitif,ümit,Son
nefret,Tiksinme duygusu.,İsim,Negatif,kin,Son
yalnız,Tek başına.,Sıfat,Melankolik,tek,Son
beraber,Birlikte.,Zarf,Pozitif,birlikte,Son
şarkı,Müzik parçası.,İsim,Nötr,türkü,Son
nota,Müzik işareti.,İsim,Nötr,-,Son
ritim,Düzenli aralık.,İsim,Nötr,dizim,Son
melodi,Ezgi.,İsim,Nötr,nağme,Son
ses,İşitilen titreşim.,İsim,Nötr,seda,Son
gürültü,Rahatsız edici ses.,İsim,Negatif,patırtı,Son
sessizlik,Ses olmaması.,İsim,Huzur,sükunet,Son
hayal,Zihinde canlandırma.,İsim,Umut,düş,Son
gerçek,Var olan.,İsim,Ciddi,hakikat,Son
rüya,Uykuda görülen.,İsim,Gizemli,düş,Son
kabus,Kötü rüya.,İsim,Korku,karabasan,Son
melek,İyilik sembolü.,İsim,Pozitif,-,Son
şeytan,Kötülük sembolü.,İsim,Negatif,-,Son
cennet,Mutluluk yeri.,İsim,Pozitif,uçmak,Son
cehennem,Azap yeri.,İsim,Negatif,tamu,Son
yıldız,Gökyüzü cismi.,İsim,Romantik,necm,Son
ay,Dünya uydusu.,İsim,Romantik,kamer,Son
gece,Karanlık vakit.,İsim,Melankolik,ley,Son
gündüz,Aydınlık vakit.,İsim,Nötr,nehar,Son
sabah,Günün başlangıcı.,İsim,Umut,-,Son
akşam,Günün bitişi.,İsim,Hüzün,-,Son
eski,Yeni olmayan.,Sıfat,Nötr,kadim,Son
yeni,Eski olmayan.,Sıfat,Heyecan,cedit,Son
genç,Yaşlı olmayan.,Sıfat,Enerjik,taze,Son
ihtiyar,Yaşlı kişi.,Sıfat,Bilge,yaşlı,Son
bebek,Yeni doğmuş.,İsim,Masum,-,Son
çocuk,Küçük insan.,İsim,Masum,-,Son
anne,Dişi ebeveyn.,İsim,Sevgi,ana,Son
baba,Erkek ebeveyn.,İsim,Güven,peder,Son
kardeş,Aynı anne babadan.,İsim,Sevgi,-,Son
dost,Arkadaş.,İsim,Güven,arkadaş,Son
düşman,Hasım.,İsim,Tehdit,hasım,Son
barış,Savaşsızlık.,İsim,Huzur,sulh,Son
savaş,Çatışma.,İsim,Korku,harp,Son
özgür,Bağımsız.,Sıfat,Umut,hür,Son
tutsak,Esir.,Sıfat,Umutsuz,esir,Son
zengin,Varlıklı.,Sıfat,Güç,varsıl,Son
fakir,Yoksul.,Sıfat,Zayıf,yoksul,Son
güçlü,Kuvvetli.,Sıfat,Güç,kuvvetli,Son
zayıf,Güçsüz.,Sıfat,Kırılgan,cılız,Son
hızlı,Süratli.,Sıfat,Enerjik,süratli,Son
yavaş,Ağır.,Sıfat,Sakin,ağır,Son
soğuk,Isısı düşük.,Sıfat,Uzak,serin,Son
sıcak,Isısı yüksek.,Sıfat,Yakın,kızgın,Son
